model,accuracy,ordinal_mae,qwk,macro_f1,balanced_accuracy,within_one_accuracy,two_step_error_rate,severe_precision,severe_recall,severe_f1,predicted_class0_share
majority,0.6762,0.3594,0.0000,0.2689,0.3333,0.9644,0.0356,nan,0.0000,0.0000,1.0000
decision_tree,0.5797,0.4510,0.2210,0.4515,0.4718,0.9693,0.0307,0.2345,0.3393,0.2773,0.6095
xgboost,0.6274,0.4013,0.3674,0.5142,0.5781,0.9713,0.0287,0.2518,0.5424,0.3439,0.5738
mlrf_random_forest,0.7098,0.3089,0.3650,0.5064,0.5094,0.9813,0.0187,0.4027,0.3830,0.3926,0.8667
ebm,0.5785,0.4902,0.3107,0.4604,0.5829,0.9313,0.0687,0.1585,0.6812,0.2572,0.5336
